test_data,I_a,I_b,I_c,Fault_Type
145,0.000000,2.295084,2.295084,1.000000
146,0.000000,2.294939,2.294939,1.000000
147,0.000000,2.295390,2.295390,1.000000
148,0.000000,2.293228,2.293228,1.000000
149,0.000000,2.294457,2.294457,1.000000
150,0.000000,2.293681,2.293681,1.000000
151,0.000000,2.293755,2.293755,1.000000
152,0.000000,2.294813,2.294813,1.000000
153,0.000000,2.294003,2.294003,1.000000
154,0.000000,2.295195,2.295195,1.000000
155,0.000000,2.294586,2.294586,1.000000
156,0.000000,2.295212,2.295212,1.000000
157,0.000000,2.295862,2.295862,1.000000
158,0.000000,2.294524,2.294524,1.000000
159,0.000000,2.294516,2.294516,1.000000
160,0.000000,2.294724,2.294724,1.000000
161,0.000000,2.294637,2.294637,1.000000
162,0.000000,2.293380,2.293380,1.000000
163,0.000000,2.294385,2.294385,1.000000
164,0.000000,2.295376,2.295376,1.000000
165,0.000000,2.294323,2.294323,1.000000
166,0.000000,2.295026,2.295026,1.000000
167,0.000000,2.293757,2.293757,1.000000
168,0.000000,2.295184,2.295184,1.000000
169,0.000000,2.295239,2.295239,1.000000
170,0.000000,2.294892,2.294892,1.000000
171,0.000000,2.293513,2.293513,1.000000
172,0.000000,2.295798,2.295798,1.000000
173,0.000000,2.295424,2.295424,1.000000
174,0.000000,2.294423,2.294423,1.000000
175,0.000000,2.295954,2.295954,1.000000
176,0.000000,2.295048,2.295048,1.000000
177,0.000000,2.295036,2.295036,1.000000
178,0.000000,2.292749,2.292749,1.000000
179,0.000000,2.292883,2.292883,1.000000
180,0.000000,2.295006,2.295006,1.000000
181,0.000000,2.294402,2.294402,1.000000
182,0.000000,2.293735,2.293735,1.000000
183,0.000000,2.295563,2.295563,1.000000
184,0.000000,2.295834,2.295834,1.000000
185,0.000000,2.293939,2.293939,1.000000
186,0.000000,2.293015,2.293015,1.000000
187,0.000000,2.293219,2.293219,1.000000
188,0.000000,2.294952,2.294952,1.000000
189,0.000000,2.295238,2.295238,1.000000
190,0.000000,2.296102,2.296102,1.000000
191,0.000000,2.295119,2.295119,1.000000
192,0.000000,2.293112,2.293112,1.000000
193,0.000000,2.295381,2.295381,1.000000
194,0.000000,2.295629,2.295629,1.000000
195,0.000000,2.295255,2.295255,1.000000
196,0.000000,2.294681,2.294681,1.000000
197,0.000000,2.293241,2.293241,1.000000
198,0.000000,2.295585,2.295585,1.000000
199,0.000000,2.293965,2.293965,1.000000
200,0.000000,2.295351,2.295351,1.000000
201,0.000000,2.295609,2.295609,1.000000
202,0.000000,2.295815,2.295815,1.000000
203,0.000000,2.293513,2.293513,1.000000
204,0.000000,2.294115,2.294115,1.000000
205,0.000000,2.294632,2.294632,1.000000
206,0.000000,2.294981,2.294981,1.000000
207,0.000000,2.296115,2.296115,1.000000
208,0.000000,2.295291,2.295291,1.000000
209,0.000000,2.294336,2.294336,1.000000
210,0.000000,2.294206,2.294206,1.000000
211,0.000000,2.295365,2.295365,1.000000
212,0.000000,2.295752,2.295752,1.000000
213,0.000000,2.293773,2.293773,1.000000
214,0.000000,2.292887,2.292887,1.000000
215,0.000000,2.293455,2.293455,1.000000
216,0.000000,2.295557,2.295557,1.000000
217,0.000000,2.295092,2.295092,1.000000
218,0.000000,2.294302,2.294302,1.000000
219,0.000000,2.293817,2.293817,1.000000
220,0.000000,2.295503,2.295503,1.000000
221,0.000000,2.293315,2.293315,1.000000
222,0.000000,2.295205,2.295205,1.000000
223,0.000000,2.295314,2.295314,1.000000
224,0.000000,2.292869,2.292869,1.000000
225,0.000000,2.292804,2.292804,1.000000
226,0.000000,2.293093,2.293093,1.000000
227,0.000000,2.294007,2.294007,1.000000
228,0.000000,2.295991,2.295991,1.000000
229,0.000000,2.295683,2.295683,1.000000
230,0.000000,2.295599,2.295599,1.000000
231,0.000000,2.294674,2.294674,1.000000
232,0.000000,2.295921,2.295921,1.000000
233,0.000000,2.295440,2.295440,1.000000
234,0.000000,2.295971,2.295971,1.000000
235,0.000000,2.295175,2.295175,1.000000
236,0.000000,2.294033,2.294033,1.000000
237,0.000000,2.296109,2.296109,1.000000
238,0.000000,2.293168,2.293168,1.000000
239,0.000000,2.292832,2.292832,1.000000
240,0.000000,2.293825,2.293825,1.000000
241,0.000000,2.293792,2.293792,1.000000
242,0.000000,2.293839,2.293839,1.000000
243,0.000000,2.295248,2.295248,1.000000
244,0.000000,2.294607,2.294607,1.000000
245,0.000000,2.294985,2.294985,1.000000
246,0.000000,2.293135,2.293135,1.000000
247,0.000000,2.294985,2.294985,1.000000
248,0.000000,2.294327,2.294327,1.000000
249,0.000000,2.294965,2.294965,1.000000
250,0.000000,2.292775,2.292775,1.000000
251,0.000000,2.295519,2.295519,1.000000
252,0.000000,2.294538,2.294538,1.000000
253,0.000000,2.293279,2.293279,1.000000
254,0.000000,2.294329,2.294329,1.000000
255,0.000000,2.293322,2.293322,1.000000
256,0.000000,2.294538,2.294538,1.000000
257,0.000000,2.295469,2.295469,1.000000
258,0.000000,2.295007,2.295007,1.000000
259,0.000000,2.295267,2.295267,1.000000
260,0.000000,2.294993,2.294993,1.000000
261,0.000000,2.293118,2.293118,1.000000
262,0.000000,2.294921,2.294921,1.000000
263,0.000000,2.294635,2.294635,1.000000
264,0.000000,2.295979,2.295979,1.000000
265,0.000000,2.295896,2.295896,1.000000
266,0.000000,2.293428,2.293428,1.000000
267,0.000000,2.294337,2.294337,1.000000
268,0.000000,2.295771,2.295771,1.000000
269,0.000000,2.295737,2.295737,1.000000
270,0.000000,2.293544,2.293544,1.000000
271,0.000000,2.293149,2.293149,1.000000
272,0.000000,2.292894,2.292894,1.000000
