test_data,I_a,I_b,I_c,Fault_Type
145,2.648500,2.648500,2.648500,0.000000
146,2.650173,2.650173,2.650173,0.000000
147,2.644437,2.644437,2.644437,0.000000
148,2.643824,2.643824,2.643824,0.000000
149,2.649764,2.649764,2.649764,0.000000
150,2.647396,2.647396,2.647396,0.000000
151,2.648782,2.648782,2.648782,0.000000
152,2.645613,2.645613,2.645613,0.000000
153,2.646001,2.646001,2.646001,0.000000
154,2.646828,2.646828,2.646828,0.000000
155,2.650292,2.650292,2.650292,0.000000
156,2.641622,2.641622,2.641622,0.000000
157,2.644420,2.644420,2.644420,0.000000
158,2.641322,2.641322,2.641322,0.000000
159,2.641652,2.641652,2.641652,0.000000
160,2.647916,2.647916,2.647916,0.000000
161,2.647008,2.647008,2.647008,0.000000
162,2.647352,2.647352,2.647352,0.000000
163,2.644555,2.644555,2.644555,0.000000
164,2.649761,2.649761,2.649761,0.000000
165,2.649212,2.649212,2.649212,0.000000
166,2.650354,2.650354,2.650354,0.000000
167,2.644429,2.644429,2.644429,0.000000
168,2.641362,2.641362,2.641362,0.000000
169,2.643052,2.643052,2.643052,0.000000
170,2.642275,2.642275,2.642275,0.000000
171,2.650142,2.650142,2.650142,0.000000
172,2.649685,2.649685,2.649685,0.000000
173,2.642756,2.642756,2.642756,0.000000
174,2.642662,2.642662,2.642662,0.000000
175,2.646145,2.646145,2.646145,0.000000
176,2.646971,2.646971,2.646971,0.000000
177,2.642518,2.642518,2.642518,0.000000
178,2.641778,2.641778,2.641778,0.000000
179,2.645235,2.645235,2.645235,0.000000
180,2.647696,2.647696,2.647696,0.000000
181,2.642748,2.642748,2.642748,0.000000
182,2.650427,2.650427,2.650427,0.000000
183,2.643880,2.643880,2.643880,0.000000
184,2.650189,2.650189,2.650189,0.000000
185,2.647589,2.647589,2.647589,0.000000
186,2.642162,2.642162,2.642162,0.000000
187,2.650369,2.650369,2.650369,0.000000
188,2.643297,2.643297,2.643297,0.000000
189,2.644028,2.644028,2.644028,0.000000
190,2.646216,2.646216,2.646216,0.000000
191,2.644404,2.644404,2.644404,0.000000
192,2.641497,2.641497,2.641497,0.000000
193,2.641667,2.641667,2.641667,0.000000
